Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
56.0,0.0,0.0,0.0,0.0,2.0,6286.45,25.0,2.0
47.0,1.0,1.0,1.0,0.0,0.0,6238.64,51.0,6.0
58.0,0.0,0.0,2.0,3.0,1.0,6241.96,33.0,2.0
67.0,0.0,0.0,1.0,0.0,1.0,6341.81,41.5,6.0
43.0,1.0,0.0,2.0,2.0,1.0,6213.26,49.0,6.0
34.0,1.0,3.0,0.0,2.0,2.0,6216.96,28.0,3.0
66.0,0.0,0.0,1.0,1.0,0.0,6224.49,19.0,5.0
74.0,1.0,3.0,0.0,2.0,0.0,6354.14,29.0,6.0
60.5,0.5,3.0,1.5,0.0,2.0,6373.135,56.0,6.0
67.0,0.0,1.0,1.0,3.0,1.0,6372.0,55.0,7.0
51.0,0.0,0.0,2.0,2.0,2.0,6201.41,26.0,5.0
79.0,0.0,1.0,0.0,0.0,1.0,6204.49,39.0,1.0
69.5,0.0,1.0,1.0,1.0,0.0,6365.34,11.0,2.0
57.0,1.0,0.0,0.0,2.0,0.0,6201.69,19.0,1.0
72.0,1.0,2.0,0.0,2.5,0.0,6189.495,29.0,3.0
33.0,0.0,1.0,2.0,3.0,2.0,6401.62,4.0,5.0
68.0,1.0,0.0,2.0,3.0,1.0,6168.83,23.0,5.0
39.0,1.0,0.0,1.0,2.0,0.0,6161.2,23.0,0.0
69.0,0.0,2.0,1.0,3.0,0.0,6428.34,14.0,7.0
75.0,1.0,2.0,0.0,2.0,0.0,6439.4,34.0,1.0
54.0,1.0,0.0,1.0,3.0,2.0,6449.69,46.0,5.0
57.0,0.0,2.0,2.0,2.0,2.0,6133.01,10.0,0.0
34.5,0.0,2.0,1.0,0.0,1.0,6121.7,25.0,7.0
38.0,0.0,0.0,2.0,2.0,0.0,6450.38,9.0,2.0
48.0,0.0,0.0,0.0,1.0,1.0,6107.1,34.0,6.0
34.0,0.0,2.0,1.0,1.0,2.0,6103.32,42.0,7.0
33.0,0.0,0.0,0.0,1.0,2.0,6477.27,17.0,6.0
72.0,0.0,1.0,1.0,2.0,2.0,6095.05,31.0,2.0
70.0,1.0,2.0,1.0,3.0,2.0,6489.91,43.0,5.0
77.0,1.0,1.0,1.0,2.0,2.0,6486.04,6.0,6.0
64.0,0.0,0.0,1.0,0.0,1.0,6495.12,18.0,1.0
65.0,0.0,3.0,2.0,0.0,2.0,6503.96,31.0,0.0
45.0,0.5,1.0,2.0,0.0,1.0,6055.61,32.0,5.5
59.0,1.0,2.0,0.0,3.0,1.0,6520.94,20.0,0.0
51.0,1.0,1.0,0.0,1.0,0.0,6523.97,12.0,7.0
76.0,1.0,0.0,2.0,3.0,0.0,6526.87,5.0,6.0
46.0,1.0,3.0,2.0,1.0,0.0,6532.11,11.0,3.0
64.0,0.0,0.0,0.0,0.0,1.0,6038.8,45.0,6.0
33.0,0.0,1.0,0.0,3.0,0.5,6036.88,40.0,2.0
52.0,0.0,2.0,1.0,0.0,0.0,6535.93,5.0,3.0
45.0,1.0,2.0,0.0,3.0,2.0,6540.52,12.0,2.0
48.0,0.5,0.0,1.0,0.5,0.0,6549.04,44.0,1.5
27.0,0.0,3.0,2.0,3.0,0.0,6022.11,6.0,0.0
60.0,0.0,0.0,1.0,2.0,2.0,6018.69,12.0,2.0
80.0,1.0,3.0,0.0,0.0,2.0,6554.89,9.0,6.0
39.0,0.0,3.0,1.0,0.0,1.0,6011.08,48.0,4.0
36.0,1.0,3.0,2.0,1.0,1.0,6565.58,15.0,6.0
57.0,1.0,1.0,0.0,3.0,1.0,5996.67,23.0,0.0
45.0,0.0,2.0,0.0,0.0,0.0,5994.26,17.0,1.0
47.0,1.0,1.0,1.0,3.0,2.0,5993.87,17.0,0.0
55.5,0.0,0.5,0.0,3.0,2.0,6587.38,16.5,6.0
44.0,1.0,1.0,2.0,2.0,1.0,5986.72,13.0,5.0
79.0,1.0,2.0,0.0,2.0,1.0,6596.0,24.0,2.0
64.0,0.0,3.0,2.0,0.0,0.0,5964.71,57.0,3.0
42.0,1.0,3.0,2.0,2.0,0.0,6636.64,15.0,3.5
61.0,1.0,1.0,0.0,2.0,0.0,5934.45,22.0,6.0
39.0,1.0,3.0,0.0,1.0,2.0,6648.24,46.0,5.0
47.0,0.0,3.0,1.0,2.0,2.0,5929.23,23.0,7.0
22.0,1.0,0.0,2.0,2.0,2.0,5926.09,31.0,7.0
52.0,1.0,2.0,1.0,3.0,2.0,6664.54,14.0,4.0
74.0,0.0,3.0,0.0,1.0,0.0,6673.03,62.0,2.0
77.0,0.0,2.0,2.0,2.0,2.0,5894.46,67.0,7.0
62.0,1.0,1.0,2.0,2.0,2.0,5892.0,50.0,5.0
19.0,1.0,1.0,2.0,1.0,1.0,6681.56,11.0,2.0
50.0,1.0,0.0,2.0,2.0,1.0,6686.13,3.0,1.0
74.0,1.0,2.0,2.0,3.0,0.0,5877.19,48.0,5.0
75.0,0.0,2.0,2.0,2.0,2.0,5868.75,26.0,4.0
40.0,0.0,3.0,1.0,0.0,2.0,6716.35,45.0,1.0
54.0,1.0,1.0,2.0,3.0,2.0,5856.94,55.0,0.0
31.0,0.0,2.0,1.0,2.0,1.0,6722.6,34.0,4.0
28.0,1.0,3.0,1.0,2.0,0.0,5840.07,15.0,5.0
65.0,0.0,3.0,2.0,2.0,0.0,5830.6,55.0,0.0
51.0,0.0,2.0,0.0,1.0,2.0,5813.19,50.0,3.0
51.0,0.0,1.0,0.0,2.0,1.0,5812.04,49.0,7.0
61.0,1.0,1.0,1.0,3.0,1.0,5805.01,9.0,0.0
70.0,1.0,1.0,1.0,0.0,0.0,5789.23,23.0,0.0
49.0,0.0,3.0,2.0,3.0,1.0,5784.88,10.0,3.0
54.5,1.0,0.0,1.0,0.0,0.5,6795.465,10.0,6.0
32.0,0.5,0.0,1.0,2.0,2.0,5778.01,44.5,5.0
39.0,0.0,2.0,1.0,1.0,0.0,5775.41,19.0,6.0
33.0,0.0,3.0,1.0,2.0,1.0,6800.39,7.0,3.5
78.0,0.0,1.0,1.0,1.0,0.0,5775.06,19.0,6.0
67.0,1.0,3.0,1.0,0.0,1.0,5761.81,58.0,6.0
67.0,1.0,3.0,1.0,0.0,1.0,6827.165,54.5,2.5
63.0,0.0,0.0,2.0,2.0,0.0,5746.38,43.0,2.0
24.5,1.0,1.0,2.0,2.0,2.0,6832.88,12.0,4.5
78.0,1.0,0.0,1.0,3.0,1.0,6833.71,39.0,0.0
60.0,0.0,0.0,2.0,2.0,1.0,6834.04,17.0,7.0
65.0,0.0,1.0,0.0,0.0,0.0,6839.54,54.0,5.0
