Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,outcome
39,1,3,0,0,0,3249,4,7,1
46,1,2,0,0,0,3249,36,1,1
39,1,3,0,0,2,3613,3,1,1
39,1,2,0,2,0,3249,36,1,1
80,1,3,0,1,0,3249,36,1,1
39,1,3,0,0,1,3249,23,1,1
39,1,3,0,0,0,3249,36,4,1
39,1,3,0,3,0,3249,36,0,1
39,1,3,2,1,0,6195,36,1,1
39,1,3,0,0,0,7816,36,3,1
75,1,3,0,1,0,3249,36,1,1
46,1,3,0,0,0,3249,36,1,1
39,1,1,0,1,0,3249,36,6,1
39,0,3,2,0,0,3249,36,4,1
39,1,2,0,0,0,3249,36,6,1
39,1,3,2,1,0,3419,36,1,1
57,1,0,1,0,0,3249,36,1,1
39,1,3,0,0,0,3249,12,1,1
56,1,3,0,0,0,3249,36,3,1
39,0,3,0,2,0,3249,36,1,1
39,1,3,0,2,0,3249,5,1,1
77,1,3,0,0,0,6386,36,1,1
39,1,3,0,0,0,3249,22,3,1
39,1,3,0,0,0,5480,36,1,1
39,1,3,0,0,0,3249,30,1,1
39,0,3,0,0,1,3249,36,1,1
40,1,3,0,2,0,3249,36,1,1
47,1,3,0,0,0,17179,36,1,1
50,1,3,0,0,1,3249,27,1,1
78,0,3,0,0,0,3249,36,1,1
39,1,3,0,0,0,6068,20,1,1
68,1,3,0,3,0,3249,14,1,1
75,1,3,0,0,2,3249,36,1,1
47,1,3,0,0,0,3249,36,1,1
39,1,2,0,0,0,3249,36,4,1
39,1,3,0,0,0,3249,23,0,1
39,1,3,0,2,0,3249,21,1,1
39,1,3,2,1,0,3249,32,1,1
66,1,3,0,0,0,3249,36,1,1
39,1,3,0,0,0,3249,25,1,1
39,1,2,0,0,0,3249,8,1,1
39,1,1,0,0,0,3249,5,4,1
39,1,3,0,2,2,3249,36,3,1
77,1,3,0,0,0,3249,17,1,1
39,1,1,1,0,0,3249,36,6,1
39,0,3,0,0,0,3249,9,1,1
69,1,3,2,0,0,3249,36,1,1
39,1,3,0,3,0,10794,36,1,1
39,1,3,0,0,0,8793,36,1,1
35,1,3,0,0,0,3249,36,6,1
77,1,3,0,1,0,3249,36,1,1
39,1,3,0,2,0,3249,36,6,1
72,1,3,0,0,1,3249,36,1,1
71,1,3,0,0,2,3249,36,1,1
58,1,3,0,0,0,1966,12,1,1
39,1,3,0,2,0,121,18,1,1
53,1,2,0,0,0,3249,36,1,1
39,1,3,0,0,0,5908,36,1,1
39,1,3,0,3,0,3249,5,1,1
67,1,3,0,0,2,3249,36,4,1
39,1,2,0,0,0,3249,36,3,1
39,1,3,2,1,0,3249,34,1,1
39,1,3,0,0,0,26907,9,1,1
39,1,3,0,0,0,7086,36,1,1
39,1,3,0,2,1,3249,24,1,1
39,0,3,0,0,0,3249,30,1,1
39,1,3,0,0,0,8167,36,1,1
39,1,0,0,0,2,3249,36,7,1
39,0,3,0,3,0,4309,36,1,1
57,1,3,1,0,0,3249,36,1,1
39,1,2,2,0,0,11472,36,1,1
39,1,3,0,0,0,7816,36,1,1
39,1,3,0,3,0,5425,36,1,1
42,1,3,0,0,0,3249,36,4,1
80,1,3,0,0,0,3249,36,1,1
79,1,3,0,0,0,3249,36,1,1
62,1,3,0,0,0,3249,36,1,1
39,1,3,0,0,2,3249,25,1,1
39,1,3,0,1,0,11135,36,1,1
39,1,3,1,0,0,3249,36,5,1
39,1,3,0,2,2,3249,36,4,1
61,1,3,0,3,0,3249,17,1,1
23,1,3,0,0,0,3249,14,1,1
60,1,3,0,3,0,3249,29,1,1
68,1,3,0,0,0,3249,36,1,1
39,1,3,0,0,2,3249,36,5,1
57,1,3,0,0,1,3249,36,1,1
39,1,3,0,3,0,3249,36,2,1
39,1,3,0,3,0,5908,36,1,1
20,1,3,0,2,0,3249,4,1,1
39,1,3,0,2,0,3249,19,1,1
39,1,3,0,2,0,3249,33,1,1
45,1,3,0,0,0,3249,36,1,1
39,1,3,0,0,1,3249,36,2,1
65,1,3,0,0,0,3249,36,1,1
39,1,2,0,0,0,3249,36,5,1
39,1,3,0,2,0,3249,36,1,1
79,1,3,2,1,0,3249,36,1,1
39,1,1,0,0,2,3249,36,5,1
52,1,3,2,0,0,3249,36,1,1
45,1,3,2,0,0,3249,36,1,1
74,1,3,0,0,0,3249,36,1,1
39,1,0,0,0,0,7531,36,1,1
39,1,3,0,3,1,3249,39,1,1
20,1,3,0,0,0,3249,4,1,1
39,0,3,2,0,0,3249,30,1,1
39,1,3,0,3,2,3249,36,2,1
39,1,3,0,0,0,3249,19,5,1
33,1,3,0,2,0,3249,5,1,1
74,1,3,2,0,0,3249,36,1,1
39,1,3,1,0,0,3249,36,7,1
39,1,3,2,0,0,3249,36,7,1
27,1,3,0,0,2,3249,3,1,1
39,1,3,0,0,0,3249,14,1,1
70,1,3,0,0,0,3249,36,1,1
39,1,3,2,0,2,3249,36,1,1
39,1,3,0,1,2,3249,36,1,1
63,0,3,0,0,0,3249,36,1,1
76,1,3,2,0,0,3249,36,1,1
48,1,2,0,3,0,3249,36,1,1
39,1,3,0,3,0,3249,36,1,1
49,1,2,0,0,0,3249,36,1,1
58,1,2,0,0,0,3249,36,1,1
62,1,3,0,0,0,3249,27,1,1
43,1,3,0,0,0,3249,36,1,1
69,1,3,0,0,0,3249,36,1,1
39,1,3,0,0,0,3249,12,0,1
39,0,3,0,3,0,3249,36,4,1
39,1,3,0,0,0,6068,36,1,1
64,1,3,0,0,2,3249,36,1,1
39,1,0,0,0,0,3249,3,1,1
57,1,3,0,0,0,6088,36,1,1
39,1,3,0,2,1,3249,36,1,1
52,1,3,0,0,0,3249,36,1,1
48,1,1,0,0,0,3249,36,1,1
39,1,3,0,0,1,3249,28,1,1
39,1,3,0,0,1,3249,36,6,1
39,1,0,2,3,0,3249,36,1,1
39,1,3,2,0,0,3249,36,5,1
67,1,2,0,0,0,3249,5,1,1
53,1,3,1,0,2,3249,36,1,1
39,0,3,2,0,0,3249,36,7,1
39,1,3,0,0,0,3249,4,5,1
39,1,3,0,3,2,3249,36,6,1
39,1,0,2,0,0,3249,36,6,1
39,0,3,1,0,0,3249,5,1,1
39,1,3,0,1,0,3249,36,6,1
39,1,0,0,0,2,3249,36,1,1
37,1,3,0,0,1,3249,36,5,1
76,1,3,1,0,0,3249,36,1,1
39,0,0,0,0,0,3249,30,1,1
39,1,3,0,1,0,3249,34,1,1
39,1,1,0,0,2,3249,25,1,1
76,1,3,0,0,0,3249,36,7,1
