Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
30,1,2,1,2,1,164,3,1
30,1,2,1,1,1,83,3,1
30,1,2,1,2,1,6682,4,1
30,0,2,1,2,1,5013,9,1
30,0,2,1,2,1,6016,7,1
30,0,2,1,-8,1,3609,26,1
31,0,2,1,2,1,5012,14,1
30,0,2,1,2,1,4182,16,1
31,0,2,1,2,1,7822,6,1
30,0,2,1,-7,1,4680,34,1
30,1,2,1,2,1,8354,6,1
30,0,2,1,2,1,6685,37,-8
30,0,2,1,2,1,5850,13,1
30,0,2,1,2,1,3761,18,1
30,1,2,1,1,1,7523,7,1
30,0,2,1,2,1,6686,11,1
30,0,2,1,2,1,6685,16,8
30,0,2,1,2,1,5265,30,10
30,1,0,1,-7,1,5259,22,1
30,0,2,1,1,1,8358,6,1
30,0,2,1,2,1,4181,20,1
30,0,2,1,2,1,4009,20,1
30,0,2,-8,2,1,6768,21,1
30,0,2,1,2,1,6768,12,1
30,1,2,-3,0,1,8357,32,1
30,1,2,1,2,1,6680,14,1
30,1,2,1,2,1,6682,14,1
30,1,2,1,1,1,8358,9,1
30,1,2,1,2,1,4680,21,1
30,0,2,1,2,1,8355,11,1
30,0,2,1,2,1,8355,12,1
30,1,2,1,1,1,10865,7,1
30,1,2,1,2,1,8357,13,1
30,1,2,1,2,1,5014,22,1
30,0,4,1,2,1,2406,41,1
30,1,2,1,2,1,6683,17,1
30,1,2,1,2,1,6686,17,1
30,0,2,1,2,1,8358,13,1
30,1,2,1,1,1,8358,12,1
30,1,2,1,2,1,6686,18,1
30,1,-6,1,2,1,8357,31,1
30,0,2,1,2,1,5849,20,1
30,0,2,1,2,1,7516,16,1
30,0,2,1,2,1,4678,24,1
30,1,2,-2,2,1,4177,26,1
30,0,2,1,2,1,6685,18,1
30,1,2,1,2,1,8358,16,1
25,0,2,10,-4,1,9193,41,1
30,0,2,1,2,1,4210,25,1
32,1,2,1,2,1,8356,19,1
31,0,2,1,2,1,8356,17,1
30,0,4,1,1,1,8358,12,1
30,1,2,1,2,1,8357,17,1
30,1,2,1,2,1,8358,17,1
30,1,2,1,2,1,6684,20,1
30,0,4,1,2,1,7522,41,1
30,0,2,1,1,1,8356,15,1
30,1,2,1,2,1,7521,19,1
30,0,2,1,2,1,10865,13,1
30,1,2,1,-9,1,8354,34,1
30,1,2,1,0,1,6685,17,1
30,1,2,1,2,1,8356,18,1
30,0,-5,1,2,-8,7520,14,1
32,1,2,1,2,1,6686,24,1
30,0,2,1,2,1,7520,19,1
30,1,2,1,1,1,8357,-4,1
30,1,11,1,-1,1,6685,25,-3
30,1,2,1,1,1,5849,22,1
30,1,2,1,2,1,8354,19,1
30,1,2,10,2,1,8358,38,1
30,1,2,1,2,1,4680,28,1
30,1,2,1,2,1,2674,21,1
30,0,2,-8,1,1,2507,29,-4
30,1,2,1,2,1,7522,21,1
31,1,4,1,2,1,8358,30,1
30,0,2,1,2,1,8357,19,1
30,0,2,1,2,1,8357,19,1
30,0,2,-8,2,1,8358,23,1
30,0,2,1,-6,1,8357,26,1
30,1,2,1,2,1,8356,20,1
30,1,2,1,2,1,8358,20,1
30,0,2,1,2,1,5013,27,1
31,0,2,1,2,1,8353,21,1
30,1,2,1,2,1,7522,22,1
31,1,2,1,-2,10,8357,29,1
30,0,2,1,2,1,8356,20,1
30,0,2,-7,1,1,8358,18,1
30,0,2,1,1,1,6684,21,1
30,0,2,1,2,1,5846,25,1
30,1,2,1,2,1,5846,26,1
30,1,2,1,1,1,6683,22,1
30,1,2,1,2,1,5265,28,1
30,0,2,1,2,1,7520,22,1
30,1,2,1,2,1,7521,23,1
31,1,2,1,2,1,8357,23,1
30,0,2,1,2,1,8356,21,1
30,0,2,1,2,1,8356,21,1
30,1,2,1,2,1,8356,22,1
30,0,2,9,1,1,5850,53,1
30,1,2,1,0,1,7524,20,1
32,0,-7,1,1,1,6685,34,1
30,0,2,1,1,1,8358,20,1
30,1,2,1,2,1,7522,24,1
25,0,2,-4,-2,1,8358,38,1
30,1,2,1,1,1,8356,21,1
30,0,2,1,1,1,6686,23,1
30,1,2,1,2,1,8358,23,1
31,0,2,1,1,1,8358,22,1
31,1,2,1,0,1,8354,21,1
30,1,2,1,2,-5,7522,38,-8
30,0,2,1,2,1,7522,24,1
30,0,2,1,-8,1,6017,37,1
30,1,2,1,0,1,8355,20,1
30,0,10,-1,0,1,8359,43,1
30,1,4,1,2,1,7522,30,1
30,0,2,1,2,1,8358,23,1
30,1,2,1,1,1,8355,22,1
30,1,2,1,2,1,8358,24,1
30,0,2,1,0,1,3008,23,1
30,0,2,1,2,1,7522,25,1
30,0,2,1,1,1,5265,28,1
30,0,2,-8,0,1,8358,14,1
30,0,2,1,2,1,8354,24,1
30,1,2,1,1,1,8356,23,1
30,1,2,1,2,1,8355,25,1
30,1,2,1,2,1,8358,25,1
30,1,2,1,2,1,8358,25,1
30,1,2,1,2,1,8358,25,1
30,1,2,-7,-8,1,8358,33,1
30,0,2,1,0,1,7522,22,1
30,1,2,1,2,1,3343,27,1
30,0,2,1,2,2,8358,27,1
30,1,2,8,2,1,8358,36,1
30,0,2,1,2,1,7521,26,1
30,0,2,1,2,1,7522,26,1
28,1,2,1,2,1,8357,23,1
30,0,2,1,2,1,8356,25,1
30,0,2,1,2,1,8357,25,1
30,0,2,1,2,1,8359,25,1
30,1,2,1,1,-5,8357,15,1
30,1,2,1,2,1,8358,26,1
30,1,2,1,2,1,8358,26,1
