Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
39,1,3,0,0,0,324,3,1
39,1,3,0,0,0,324,3,1
32,1,4,0,0,0,324,18,9
38,1,2,0,0,0,3246,-1,1
39,1,3,0,4,0,323,12,1
34,1,3,0,0,8,3250,11,1
38,1,3,0,0,0,3250,6,1
38,1,3,0,0,0,3249,6,1
39,1,3,0,0,0,3249,7,1
38,1,3,0,0,0,3248,7,1
39,1,3,0,0,0,324,8,1
46,1,3,0,-7,0,3248,33,2
28,1,2,0,0,0,3249,2,1
38,1,3,0,0,0,3248,9,1
47,1,3,0,0,0,3249,14,1
39,1,3,0,0,0,3249,10,1
39,1,3,0,0,0,3249,10,1
34,1,2,0,0,0,3249,35,9
39,0,3,-1,0,0,3249,15,-2
39,1,3,0,0,0,3248,11,1
32,1,3,0,0,0,3249,8,1
45,1,3,0,0,0,3250,15,1
39,1,3,0,0,0,3250,12,1
39,1,3,0,0,0,3249,12,1
41,1,3,0,0,0,3572,15,2
33,1,-1,0,1,0,3249,23,1
39,1,3,0,0,0,3249,13,1
39,1,3,0,0,0,3249,14,1
33,1,3,0,0,0,3249,11,1
34,1,3,0,0,8,3250,29,1
32,1,3,0,0,0,3249,11,1
39,1,3,0,0,0,3249,15,1
37,1,3,0,0,0,3249,14,1
39,1,2,0,0,0,3249,15,1
35,1,2,0,0,0,3250,13,1
44,1,2,0,0,0,3250,18,1
36,1,3,0,0,0,3248,14,1
39,1,3,0,0,0,3250,16,1
39,1,3,0,0,0,3249,16,1
42,1,2,0,0,0,3249,18,1
36,1,3,0,0,0,3248,15,1
54,1,2,0,0,0,3250,27,5
39,1,3,0,0,0,3249,17,1
38,1,3,0,0,0,3249,17,1
32,1,2,0,0,0,3249,14,1
39,1,3,0,0,0,3249,18,1
39,1,3,0,0,0,3249,18,1
39,1,2,0,1,0,3249,19,1
35,1,3,0,0,0,3249,16,1
36,1,3,0,0,0,3250,17,1
34,1,2,0,0,0,3249,16,1
39,1,3,0,0,0,3249,34,9
39,1,3,0,0,0,3249,19,1
39,1,3,0,0,0,3249,19,1
39,1,3,0,0,0,3248,19,1
39,1,3,0,0,0,3246,19,1
31,1,3,0,0,0,3249,15,1
38,1,-1,0,0,0,3573,33,1
39,1,3,0,0,0,3250,20,2
38,1,3,0,0,0,3248,19,1
34,1,3,0,0,0,3249,17,1
30,1,2,0,0,0,3250,15,1
39,1,3,0,0,0,3249,20,1
39,1,3,0,0,-7,3249,23,1
39,1,3,0,0,0,3249,20,1
35,1,3,0,0,0,3250,18,1
38,1,3,0,0,0,3249,20,1
39,1,3,0,0,0,3250,21,1
39,1,3,0,0,0,3250,21,1
39,1,3,0,0,0,3249,21,1
39,1,3,0,0,0,3249,21,1
29,1,3,-7,0,0,3249,34,1
38,1,3,0,0,0,3902,23,1
40,1,3,0,0,0,3250,22,1
36,1,3,0,0,0,3250,20,1
34,1,3,0,0,0,3248,19,1
39,1,3,0,0,0,3249,22,1
39,1,-4,0,5,0,3249,36,9
39,1,3,0,0,0,3249,22,1
39,1,3,0,0,0,3248,22,1
39,1,2,0,0,0,3249,22,1
33,1,3,0,0,0,3249,19,1
31,1,3,0,0,0,3249,18,1
39,1,3,0,0,0,3249,25,6
31,1,3,0,0,0,3247,18,1
38,1,3,0,0,0,3250,26,8
38,1,3,0,0,0,3249,22,1
34,1,3,0,0,0,3249,20,1
32,1,3,0,0,0,3249,19,1
30,1,3,0,0,0,3250,18,1
39,1,2,1,0,0,3248,23,2
32,1,-5,0,8,5,3248,18,1
39,1,3,0,0,0,3249,23,1
39,1,3,0,0,0,3249,23,1
39,1,3,0,0,0,3249,23,1
39,1,3,-1,0,0,3249,36,6
35,1,3,0,0,0,3249,21,1
30,1,-1,0,0,0,3249,34,0
32,1,3,1,4,0,3249,43,1
38,1,3,0,0,0,3249,23,1
34,1,3,0,0,0,3249,21,1
39,1,3,0,0,0,3250,24,1
39,1,3,0,0,0,3250,24,1
35,1,3,0,0,0,3249,22,1
39,1,2,0,0,0,3249,24,1
33,1,3,0,0,0,3249,21,1
38,1,3,0,0,0,3249,24,1
34,1,3,0,0,0,3249,22,1
32,1,3,0,0,0,3250,21,1
35,1,3,-3,0,0,3249,30,1
39,1,3,0,0,0,3249,25,1
39,1,3,0,0,0,3249,25,1
39,1,3,0,0,0,3248,25,1
39,1,2,0,0,0,3250,25,1
39,1,2,0,0,0,3249,25,1
39,1,2,0,0,0,3249,25,1
36,1,3,-4,0,0,3249,24,1
39,1,2,0,0,0,3249,25,1
38,1,3,-4,0,0,3249,26,-4
31,1,3,0,0,0,3250,21,1
39,1,2,0,0,-7,3249,22,1
40,1,3,0,0,0,3249,26,1
32,1,3,0,0,0,3249,22,1
32,1,3,0,0,0,3249,22,1
32,1,3,0,0,0,3248,22,1
39,1,3,0,0,0,3249,28,5
39,1,3,0,0,0,3250,26,1
39,1,3,0,0,0,3249,26,1
39,1,3,0,0,0,3249,26,1
39,1,3,0,0,0,3249,26,1
39,1,-4,0,0,0,3249,26,1
39,1,2,0,0,0,3249,26,1
39,1,2,0,0,0,3250,31,-3
39,1,2,0,0,0,3247,26,1
33,1,2,0,0,0,3251,23,1
33,1,2,0,0,0,3249,23,1
34,1,3,0,0,0,3249,24,1
38,0,3,0,0,0,3249,26,1
32,1,3,0,0,0,3249,23,1
34,1,2,0,0,0,3249,24,1
38,1,3,0,0,0,3249,28,4
39,1,3,0,0,0,6498,32,1
32,1,3,0,0,3,3249,36,1
39,1,3,0,0,0,3249,27,1
39,1,3,0,0,0,3249,27,1
39,1,3,0,0,0,3249,27,1
39,1,3,0,0,0,3249,27,1
39,1,3,0,0,0,3249,27,1
39,1,3,-1,0,0,3249,36,1
37,1,-5,0,0,0,3250,30,1
39,1,3,0,0,0,3248,28,2
38,1,3,0,0,0,3249,22,9
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
38,1,-4,0,0,0,3249,40,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
39,1,3,0,0,0,3249,28,1
35,1,3,0,0,0,3250,26,1
35,1,3,0,0,0,3248,26,1
39,1,2,0,0,0,3250,28,1
39,1,2,0,0,0,3250,28,1
33,1,-1,0,0,0,649,21,1
35,1,3,0,0,-4,3249,36,1
39,1,2,0,0,0,3249,28,1
39,1,0,0,0,0,3249,28,1
31,1,3,0,0,8,4287,32,3
38,1,2,0,0,0,3250,28,1
38,1,3,0,0,0,3249,29,2
40,1,3,0,0,0,3898,32,1
39,1,3,0,0,0,3250,29,1
39,1,3,0,0,0,3250,29,1
39,1,-4,0,0,0,3249,36,1
39,1,3,0,0,-3,3249,35,1
39,1,3,0,0,0,3249,29,1
39,1,3,0,0,0,3249,29,1
39,1,3,0,0,0,3249,29,1
39,1,2,0,6,0,3249,29,1
37,1,3,0,0,0,3249,28,1
37,1,3,0,0,0,3248,28,1
35,1,-3,-4,4,0,3249,32,16
39,1,2,0,0,0,3249,29,1
39,1,2,0,0,0,3249,29,1
39,1,1,0,0,0,3249,28,8
39,1,2,0,0,0,3248,29,1
33,1,3,0,0,0,3249,26,1
35,1,3,-6,0,0,3248,31,1
36,1,3,0,0,0,3248,31,7
38,1,3,0,0,0,3250,29,1
38,1,4,0,0,0,3249,36,1
31,1,3,0,0,0,3249,25,0
28,1,2,0,0,0,3249,24,1
39,1,3,0,0,0,3250,30,1
39,1,3,0,0,0,3249,30,1
39,1,3,0,0,0,3249,30,1
39,1,3,0,0,0,3249,30,1
39,1,3,0,0,0,3249,30,1
39,1,3,0,0,0,3249,30,1
39,1,3,0,0,0,3249,30,1
39,1,3,-1,0,0,3249,41,1
39,1,3,0,0,0,3248,30,1
37,1,3,0,0,0,3249,29,1
47,1,3,0,0,-4,3250,24,1
39,1,2,0,0,0,3250,30,1
39,1,-5,0,0,0,3249,31,1
39,1,2,0,0,0,3249,30,1
39,1,6,0,0,0,3246,14,1
38,1,3,0,-6,0,3250,32,1
33,1,3,0,0,0,3249,27,1
33,1,2,0,0,0,3249,27,1
33,1,-1,0,0,0,3249,27,1
36,1,3,0,0,0,3249,29,1
34,1,3,0,0,0,3249,28,1
35,1,3,0,0,0,3250,28,0
34,1,0,0,0,0,3249,28,1
39,1,3,0,0,0,3249,31,1
39,1,3,0,0,0,3249,31,1
39,1,3,0,0,0,3249,31,1
38,0,4,0,0,0,3249,30,1
