Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
23,0,1,2,0,0,6229.0,36,4
24,0,2,2,0,0,4308.0,48,0
34,1,2,1,0,0,3965.0,42,5
31,1,2,2,0,0,2302.0,36,5
33,1,2,1,0,2,6289.0,42,0
31,0,2,1,0,0,6758.0,48,5
24,1,2,1,0,2,5848.0,36,5
24,1,2,0,0,0,4605.0,48,1
31,1,2,1,0,0,2746.0,36,4
32,1,2,1,0,1,2273.0,36,3
42,1,2,0,0,1,6288.0,60,3
39,1,3,0,0,0,3249.0,36,1
24,1,2,1,0,0,9271.0,36,1
26,1,2,1,0,1,1201.0,24,1
24,1,2,1,0,0,2145.0,36,0
36,1,2,1,0,1,2337.0,36,5
30,0,2,1,2,1,8358.0,48,1
24,1,1,2,0,0,1546.0,24,5
18,0,0,0,0,0,100.0,3,0
80,1,3,2,3,2,50000.0,100,7
