X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
410150,0,4,2,63,4,0,4,3,6,5,349647,194047,186017,239811,225837,160409,19217,111794,147792,4054,62067,69261
282390,0,1,1,73,7,2,0,6,3,6,-24139,556881,46637,108723,411569,99681,90910,129613,36311,29816,119852,4540
793429,0,4,1,54,1,1,5,1,7,6,573920,121480,116327,43179,349658,-143229,33555,129613,147792,68460,47620,20720
921189,0,4,2,44,6,2,4,0,2,3,723434,629448,46637,43179,287748,99681,62233,93976,84088,16935,105405,36900
154630,0,2,1,63,2,4,2,6,6,2,499162,339180,46637,108723,40105,99681,176942,147432,68163,29816,90959,20720
793429,0,5,2,54,1,0,5,2,0,0,648677,556881,186017,108723,40105,281864,105249,147432,20385,29816,90959,150162
793429,0,1,2,35,2,0,2,1,0,1,424405,556881,673848,501987,40105,-21774,19217,40520,227421,42697,47620,4540
154630,0,4,2,54,0,1,5,0,3,3,-24139,484314,46637,108723,844943,281864,4878,40520,179643,94222,18728,53080
154630,0,2,2,63,6,4,4,1,1,0,723434,121480,46637,305355,163926,585503,90910,58338,4459,119984,47620,182523
410150,0,5,1,44,2,0,5,6,7,3,723434,847148,255707,239811,163926,38953,47894,200888,52237,42697,18728,53080
793429,0,2,1,35,6,6,6,1,6,3,50618,339180,46637,305355,287748,-82502,219958,4882,4459,16935,134298,53080
537910,0,1,1,35,0,1,0,2,6,2,573920,411747,464777,43179,225837,281864,148265,272163,52237,4054,4281,20720
793429,0,3,2,73,7,0,0,7,0,7,349647,484314,743538,108723,473480,38953,33555,22701,36311,4054,163191,101621
282390,0,4,2,44,2,5,0,5,7,3,-24139,629448,604158,108723,163926,281864,148265,22701,147792,55578,4281,150162
921189,0,4,2,54,7,2,0,1,1,0,274890,48913,604158,43179,844943,-143229,176942,58338,84088,29816,33174,85441
793429,0,1,1,54,5,2,1,6,6,3,274890,121480,325397,436443,473480,585503,105249,40520,115940,132865,62067,101621
410150,0,5,1,44,0,5,1,2,6,1,50618,48913,325397,43179,411569,38953,47894,22701,20385,119984,105405,279604
410150,0,4,2,63,5,6,6,2,0,1,648677,556881,325397,43179,411569,38953,62233,58338,147792,55578,62067,214883
665669,0,2,1,73,5,1,1,0,7,6,-24139,194047,604158,108723,535390,949870,90910,111794,4459,29816,76513,4540
537910,0,1,2,73,1,5,4,2,0,2,947707,339180,255707,501987,411569,221136,133926,200888,68163,55578,33174,53080
282390,0,4,1,44,2,0,2,0,5,5,274890,847148,673848,108723,163926,-82502,47894,40520,68163,81341,235422,69261
154630,0,2,1,35,1,6,2,1,0,6,424405,629448,464777,370899,411569,403320,191281,40520,131866,16935,4281,166342
410150,0,4,1,35,7,4,5,3,3,1,274890,121480,604158,501987,287748,-203957,4878,236525,147792,42697,105405,133982
537910,0,4,2,54,7,4,4,5,1,1,798192,339180,464777,501987,659212,464047,33555,22701,36311,107103,119852,117802
537910,0,4,1,44,6,1,0,0,5,0,125375,411747,395087,108723,163926,38953,47894,4882,259272,119984,33174,214883
410150,0,1,1,73,2,1,6,6,0,1,424405,629448,46637,43179,659212,-21774,119587,4882,195569,145746,134298,20720
793429,0,4,2,73,5,2,1,1,0,1,499162,774581,743538,567531,473480,38953,4878,40520,36311,81341,90959,214883
793429,0,3,1,35,0,0,6,1,5,0,648677,339180,46637,108723,225837,524775,219958,111794,195569,29816,62067,101621
793429,0,4,1,63,1,5,0,3,2,5,200132,847148,116327,633075,40105,949870,119587,129613,36311,4054,76513,69261
154630,0,1,2,35,7,4,4,1,2,6,349647,774581,325397,370899,349658,524775,191281,111794,36311,94222,148744,20720
154630,0,4,1,54,6,0,0,0,3,6,125375,194047,46637,698619,163926,-143229,33555,325619,84088,29816,4281,198703
154630,0,3,1,35,1,5,6,3,1,3,-24139,339180,743538,43179,906854,646231,133926,76157,20385,55578,148744,4540
921189,0,1,1,73,5,0,4,6,0,6,274890,266613,534468,764163,659212,-82502,90910,93976,4459,158627,33174,133982
921189,0,4,2,73,5,0,0,7,2,5,200132,556881,395087,370899,163926,-143229,148265,22701,275198,4054,105405,4540
537910,0,2,1,54,0,4,0,0,5,1,-24139,48913,534468,43179,844943,99681,133926,254344,195569,55578,4281,4540
154630,0,4,1,35,4,4,1,2,6,0,723434,484314,395087,239811,473480,160409,234297,22701,52237,68460,76513,182523
793429,0,1,1,35,0,6,0,6,0,6,424405,556881,813228,43179,597301,524775,19217,58338,84088,107103,148744,133982
537910,0,3,2,73,7,4,5,1,0,1,723434,484314,534468,370899,349658,-264685,47894,22701,179643,29816,119852,214883
