X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
120000,0,2,1,25,0,0,0,-2,-2,-2,26476,21393,0,0,0,0,6000,0,0,0,0,0,0
30000,0,3,1,41,1,2,0,0,2,0,29717,28569,29168,30566,29229,26260,0,2000,2200,0,1100,1100,0
20000,0,2,1,32,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
200000,0,1,2,28,-1,-1,2,-1,-1,-1,38783,62793,1286,1117,1117,0,26286,0,1117,1117,0,1128,0
50000,1,1,2,28,0,0,-1,-1,-1,-2,23266,16093,19906,11132,0,0,5224,19906,11132,0,0,0,0
260000,1,1,1,51,1,-2,-2,-2,-2,-2,-200,-200,-200,6682,1718,1512,0,0,6882,1734,1512,0,0
110000,0,3,1,46,0,0,2,2,0,0,94025,101460,102724,100188,102110,107014,8942,3800,0,3685,6580,4703,1
80000,0,1,1,34,-1,2,2,2,2,3,4269,4057,5326,5092,6008,5618,0,1500,0,1000,0,1000,1
140000,0,2,1,27,-2,-2,-2,-2,-2,-2,444,0,1650,0,2226,0,0,1650,0,2226,0,656,1
130000,0,1,2,26,0,0,0,0,0,0,7852,8871,9883,10079,10289,10495,1152,1164,360,372,376,540,1
20000,0,2,1,42,0,0,0,0,0,0,16560,17278,18289,18653,19195,19580,1293,1304,668,843,853,790,1
140000,0,3,1,32,0,0,0,0,0,0,88966,39565,41284,45793,40782,32283,3000,3000,10000,1400,1660,2000,0
120000,0,1,1,38,-1,-1,-1,-1,-1,-1,980,4000,1000,0,19100,0,4000,1000,0,19100,0,0,1
360000,1,2,2,48,0,0,0,0,0,0,29269,26763,23202,24979,26734,17956,1500,2000,2000,2000,2000,3000,0
20000,1,2,2,34,2,2,2,0,0,0,17497,20690,20075,19492,19859,19232,3500,0,1500,805,7000,542,1
130000,1,2,2,29,0,0,0,-2,-2,-2,30857,43333,0,0,0,0,13333,0,0,0,0,0,0
310000,1,1,2,30,-2,-2,-2,-2,-2,-2,1544,1648,1284,1088,892,-304,1300,1000,1000,1000,304,39544,0
230000,1,2,1,35,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
50000,0,2,2,22,0,0,2,0,0,0,30631,30479,28301,26829,27173,26424,4809,0,1200,1500,943,1142,0
470000,0,2,1,27,0,0,0,0,-1,0,152478,62084,54551,14363,97440,90717,3001,4005,2021,97441,5001,5001,1
400000,0,1,2,29,0,0,2,0,0,0,74829,77970,70557,71867,72137,72955,7017,0,3200,2750,3000,5800,1
150000,1,1,2,26,-2,-2,-2,-2,0,0,13707,12119,121170,27949,23158,67745,16408,96373,28005,5021,50000,4004,0
270000,0,2,1,34,0,0,0,0,0,0,106600,109383,113480,114432,112124,114885,4500,5800,4300,5000,4500,4500,0
260000,0,3,1,38,-1,-1,-1,-1,-1,-1,1973,1973,1973,6746,1973,1973,1973,1973,6746,1973,1973,3733,0
500000,0,2,2,26,0,0,0,0,0,0,59039,58262,54586,29280,31284,29371,4028,2077,1001,3008,1305,1007,0
30000,1,2,1,35,0,0,0,2,0,0,8348,9678,12702,12206,12701,13839,1476,3500,0,1000,1500,0,1
30000,0,2,1,26,0,0,0,0,2,0,20105,21419,22278,24423,19985,15021,1650,1506,2651,0,2044,550,0
20000,1,3,1,23,-1,-1,0,0,0,0,3675,19316,19844,19844,20388,19554,19316,1261,651,803,747,155,1
50000,1,3,2,25,0,0,2,2,0,0,39686,43685,44694,43673,44659,49512,5000,2000,0,2000,6000,300,0
120000,0,1,2,29,-1,-1,-1,-1,-1,-1,1914,573,214,4479,980,690,573,219,4484,980,690,0,0
30000,0,2,2,29,2,2,2,2,2,0,18872,21734,21103,22939,22273,22814,3500,0,2500,0,900,1000,1
390000,1,2,2,29,-1,-1,0,0,0,0,1246,1476,3436,4868,5781,6681,2000,2000,1500,1000,1000,1000,0
200000,1,4,1,46,0,0,0,0,0,0,103138,94638,88227,82087,75285,78872,3929,4000,4000,3000,13000,13000,0
260000,0,3,1,41,0,-1,-1,0,0,0,2472,8160,4549,5502,3487,5416,8160,4549,1056,139,2000,381,1
130000,1,2,2,32,0,0,0,2,0,0,109292,111908,111465,93557,95582,96226,4500,11350,0,3500,4200,3000,1
80000,0,3,1,46,0,0,-1,2,-1,-1,25505,14696,1278,1107,16634,2136,1000,2278,0,17000,2500,0,1
20000,1,1,2,24,2,0,0,0,0,0,17781,19388,19933,17331,12822,19924,2000,1300,390,388,10000,400,1
200000,1,2,2,32,-2,-2,-2,-2,-2,-2,1473,1473,390,390,540,390,1473,390,390,540,390,0,0
100000,1,1,1,45,0,0,0,0,0,0,10529,12723,15807,18901,21794,25051,2688,3688,3288,3288,3688,0,0
50000,1,3,2,28,1,-1,-1,0,-1,-1,-9802,99,103,249,386,11504,10000,103,245,386,11504,2000,0
