age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,4,347814,12,4,8,3,4,0,0,0,56,39,0
41,2,201435,9,2,14,0,2,1,0,0,40,39,0
23,4,235853,9,2,12,0,4,1,0,0,45,39,0
43,4,326701,3,5,3,1,3,1,0,0,40,26,0
55,0,449576,3,2,0,0,4,1,0,0,48,26,0
33,4,100154,6,5,6,1,4,1,0,0,40,39,0
20,4,129024,10,4,1,3,4,0,0,0,35,39,0
31,4,115963,7,2,7,0,4,1,0,0,40,39,0
24,7,123160,14,3,10,1,1,0,0,0,10,3,0
38,4,170020,9,2,7,0,4,1,3137,0,45,39,0
43,4,207685,9,2,7,0,4,1,0,0,40,39,0
30,4,154297,6,4,7,4,2,0,0,0,40,39,0
52,4,251585,6,2,14,0,4,1,0,0,55,39,0
33,6,183778,12,0,12,1,4,1,0,0,40,39,0
22,4,229456,9,4,1,3,2,0,0,0,38,39,0
65,4,176219,9,3,8,1,1,1,0,0,40,35,0
18,4,257421,8,4,7,3,2,0,0,0,40,39,0
60,6,95445,10,2,14,0,4,1,3137,0,46,39,0
29,4,351731,10,2,10,0,4,1,0,0,40,39,0
29,4,217290,10,4,4,1,4,0,0,0,40,39,0
40,4,202466,9,0,4,1,4,0,0,0,60,39,0
27,2,247507,13,4,10,3,4,1,0,0,35,39,0
23,4,188505,13,4,8,3,4,0,0,0,25,39,0
26,2,73392,9,4,6,3,0,1,0,0,30,39,0
18,4,25837,7,4,10,3,4,1,0,0,15,39,0
46,4,187370,13,4,12,1,4,1,0,1504,40,39,0
18,0,120243,7,4,0,3,4,1,0,0,27,39,0
54,4,118108,9,2,3,0,2,1,0,0,40,39,0
26,4,120268,13,4,1,3,4,1,0,0,24,39,0
35,4,175232,10,4,1,1,4,1,0,0,40,39,0
28,4,271936,10,4,4,1,4,0,0,0,35,39,0
28,4,215211,9,2,12,0,4,1,0,0,50,39,0
28,4,335357,9,4,6,3,2,1,0,0,40,39,0
41,4,279297,9,4,12,1,2,0,0,0,60,39,0
25,4,229287,13,4,4,2,4,0,0,0,25,39,0
63,4,187919,7,2,8,0,4,1,0,0,30,39,0
41,4,193626,9,3,3,4,4,0,0,0,40,39,0
35,5,82051,10,2,12,5,4,0,0,0,40,39,0
62,4,68268,6,2,6,0,4,1,0,0,40,39,0
19,4,234476,10,4,12,3,4,0,0,0,7,39,0
32,1,115066,9,2,13,0,4,1,0,0,40,39,0
34,4,255693,9,2,1,5,4,0,0,0,20,39,0
33,4,120420,7,2,7,0,4,1,0,0,40,39,0
37,4,301568,8,4,8,3,4,0,0,0,40,39,0
26,4,291968,9,2,14,0,4,1,0,0,44,39,0
32,4,51150,8,2,8,5,4,0,0,0,40,39,0
31,4,197672,13,2,10,0,4,1,0,0,40,39,0
36,7,36397,13,0,10,1,4,0,0,0,55,39,0
63,2,80655,10,0,1,1,4,0,0,0,40,39,0
37,2,52465,9,4,8,1,4,1,0,0,40,39,0
23,4,1038553,9,4,4,1,2,1,0,0,45,39,0
19,4,125591,7,4,8,1,4,0,0,0,40,39,0
44,4,99203,4,2,7,0,4,1,0,0,40,39,0
19,0,233779,10,4,0,3,4,1,0,0,60,39,0
18,4,130849,9,4,1,3,4,0,0,0,17,39,0
48,4,425199,10,0,12,4,4,1,0,0,45,39,0
38,4,172918,9,4,7,3,4,1,0,0,40,39,0
39,4,52978,10,0,8,1,4,0,0,1721,55,39,0
34,6,289731,7,2,7,0,4,1,0,0,40,39,0
33,4,130057,12,2,12,0,4,1,0,0,45,39,0
19,4,214678,9,4,8,3,4,1,0,0,30,39,0
30,6,45427,11,0,3,1,4,1,0,0,49,39,0
46,4,86220,13,0,12,1,4,0,0,0,40,39,0
17,6,33230,7,4,5,3,4,1,0,0,15,39,0
65,0,198019,9,6,0,1,4,0,0,0,35,39,0
25,2,336320,13,0,11,1,4,0,0,0,40,39,0
30,4,194901,7,4,6,3,4,1,0,0,40,39,0
27,4,40295,9,4,14,1,4,1,0,0,99,39,0
23,4,107801,10,4,1,3,4,0,0,1617,25,39,0
35,7,227128,9,0,3,3,4,1,0,0,40,39,0
31,6,55912,5,4,3,4,4,1,0,0,47,39,0
27,4,247711,9,2,1,5,4,0,0,0,40,39,0
37,4,53703,13,4,3,1,4,1,0,0,40,39,0
37,4,202662,6,0,14,4,4,1,0,0,40,39,0
24,4,225724,13,4,1,3,4,0,0,0,20,39,0
28,4,175262,9,2,7,3,4,1,0,0,40,39,0
72,0,289930,13,5,0,1,4,0,991,0,7,39,0
66,4,269665,9,6,4,1,4,0,0,0,25,39,0
23,4,214542,10,4,1,3,4,1,0,0,20,39,0
43,4,139277,9,6,3,4,4,0,0,0,40,22,0
23,4,216639,13,4,13,1,4,0,0,0,40,39,0
34,4,535869,10,4,8,1,2,1,0,0,30,39,0
39,5,51089,13,2,10,0,4,1,0,0,30,39,0
42,4,191712,13,0,12,1,4,1,0,1590,40,39,0
37,4,177974,10,2,7,0,4,1,0,0,70,39,0
29,4,443858,9,2,3,0,4,1,0,0,40,39,0
33,4,488720,3,2,6,2,4,1,0,0,40,26,0
27,0,280699,10,4,0,4,4,0,0,0,40,39,0
44,4,326232,4,0,6,1,4,1,0,0,48,39,0
59,4,172667,9,2,14,0,4,1,0,0,40,39,0
35,4,24126,10,0,4,4,4,0,0,0,40,39,0
24,4,126613,13,4,12,1,4,0,0,0,50,39,0
46,4,85109,10,2,7,0,4,1,0,1628,40,39,0
30,4,213002,10,2,13,0,2,1,0,0,14,39,0
45,2,170099,12,2,6,0,4,1,0,0,40,39,0
24,4,241185,9,4,12,1,4,0,0,0,48,39,0
52,4,103995,9,2,12,5,4,0,0,0,40,39,0
26,4,120238,13,4,3,1,4,1,3325,0,40,39,0
34,2,134886,9,2,8,5,4,0,0,1740,35,39,0
21,4,131404,9,4,8,2,4,1,0,0,25,39,0
39,6,191342,13,2,4,0,1,1,0,0,50,35,0
29,4,194458,13,4,1,1,4,1,0,0,40,39,0
26,4,82091,9,4,1,1,4,0,0,0,39,39,0
56,6,115422,9,2,5,0,4,1,0,0,40,39,0
17,4,47199,7,4,9,3,4,0,0,0,24,39,0
53,4,162796,9,2,7,0,0,1,0,0,40,39,0
65,4,154351,9,4,1,1,2,0,2993,0,40,39,0
58,5,104333,9,0,12,1,4,1,0,0,50,39,0
32,4,199529,10,5,13,1,0,1,0,1980,40,39,0
38,4,210438,4,0,12,4,4,0,0,0,40,39,0
49,4,233639,7,2,8,0,4,1,0,0,50,39,0
48,1,50459,9,0,8,4,4,1,0,0,40,39,0
33,5,206609,9,4,3,3,4,1,0,1876,50,39,0
28,4,273269,10,4,3,1,2,1,0,0,40,39,0
38,4,439592,10,4,8,3,2,0,0,0,40,39,0
24,4,187551,10,4,1,3,2,0,0,0,20,39,0
19,4,186682,9,4,8,4,2,1,0,0,40,39,0
48,6,48384,13,0,12,1,4,1,0,0,60,39,0
80,4,138737,9,0,1,2,4,0,0,0,20,39,0
24,4,285432,9,4,4,3,4,1,0,0,40,39,0
57,4,317969,9,2,4,0,4,1,0,0,50,39,0
31,6,197193,9,4,8,1,4,1,0,0,27,39,0
40,4,193459,12,5,7,1,4,1,0,0,40,28,0
37,4,242713,8,5,9,4,2,0,0,0,40,39,0
69,0,259323,15,0,0,1,4,1,0,0,5,39,0
33,4,180551,9,0,4,4,4,0,0,0,40,39,0
22,4,217363,9,5,1,4,4,0,0,0,40,39,0
26,2,202286,13,4,13,3,4,1,0,0,40,39,0
43,4,40024,7,4,14,1,4,1,0,0,42,39,0
24,4,265567,7,4,3,3,4,1,0,0,35,39,0
35,4,108293,10,4,1,3,4,0,0,2205,40,39,0
48,4,99127,12,2,14,0,4,1,0,0,45,39,0
25,4,114345,5,4,3,4,4,1,914,0,40,39,0
29,4,251905,12,2,3,0,4,1,0,0,45,39,0
56,4,152874,13,0,10,4,2,0,0,1741,40,39,0
30,4,248384,9,0,8,4,4,0,0,0,40,39,0
50,4,154043,9,6,1,2,2,0,0,0,40,39,0
48,4,95661,10,4,1,1,4,0,0,0,43,39,0
23,4,141427,13,4,4,1,2,0,0,0,40,39,0
63,4,38352,9,6,1,4,4,0,0,0,40,39,0
22,4,416165,10,4,12,4,4,0,0,0,32,39,0
24,4,234460,5,4,7,3,2,0,0,0,40,6,0
23,4,250630,13,4,12,1,4,0,0,0,40,39,0
49,6,203505,9,0,12,1,4,0,0,0,30,39,0
31,4,382368,7,2,3,0,4,1,0,0,40,39,0
27,4,199903,13,4,10,1,4,0,0,0,40,39,0
18,4,231562,9,4,12,3,4,0,0,0,33,39,0
41,4,192712,9,4,1,2,4,0,0,0,40,39,0
55,4,109075,7,2,7,0,2,1,5013,0,48,39,0
34,1,143766,12,4,1,1,4,1,0,0,40,39,0
18,6,296090,9,4,12,3,4,1,0,0,48,0,0
19,4,120691,9,4,12,3,2,1,0,0,25,39,0
30,0,97281,10,5,0,1,4,1,0,0,60,39,0
41,4,343944,7,6,8,4,4,0,0,0,40,39,0
33,6,24504,10,2,3,0,4,1,0,0,60,39,0
25,4,367306,10,4,1,3,4,0,0,0,40,39,0
47,6,114222,12,2,4,0,4,1,0,0,25,39,0
39,4,46395,13,2,4,0,4,1,0,0,40,39,0
26,1,269353,11,4,1,1,3,1,0,0,55,39,0
69,4,304838,9,2,14,0,4,1,0,0,28,39,0
