age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
21,4,195088,10,4,1,3,3,0,8000,0,20,5
30,4,187088,19,4,1,3,3,0,0,0,20,5
21,4,187988,10,4,1,3,3,0,9000,0,20,9
21,4,186188,10,4,1,12,3,0,0,0,20,5
21,4,187988,10,4,1,3,3,1,9000,0,20,18
21,4,187088,10,4,1,12,3,0,0,0,24,12
21,4,187088,10,4,10,12,3,0,0,0,20,5
21,4,187088,10,4,1,12,3,0,0,0,29,11
21,4,187088,10,4,1,12,3,0,0,0,20,-4
30,4,178088,10,4,1,3,3,0,9000,0,20,13
21,4,187088,10,4,1,3,3,0,9900,0,20,5
21,4,187088,10,4,1,3,3,0,18000,0,20,5
