age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
19,4,406078,10,4,1,11,4,0,0,0,26,39
24,4,406078,11,4,1,4,4,0,8300,0,25,39
20,4,405778,10,4,1,11,4,0,0,0,25,39
27,4,406078,17,4,1,3,4,0,0,0,34,39
22,4,406078,10,4,1,11,4,0,0,0,30,39
19,4,406078,16,4,1,9,4,0,0,0,25,39
19,4,406778,16,4,1,11,4,0,0,0,25,39
28,4,406078,16,4,1,12,4,0,0,0,25,39
19,4,406078,13,4,1,9,4,1,8500,0,30,39
19,4,406078,10,4,1,3,4,0,14500,0,25,39
