,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
0,1,22,0,2,1,0,1,5951,48,5,2
1,3,45,1,2,0,0,0,7882,42,4,1
2,4,53,1,2,0,0,0,4870,24,1,2
3,7,35,1,3,2,0,1,6948,36,1,1
4,9,28,1,3,1,0,1,5234,30,1,2
5,10,25,0,2,2,0,1,1295,12,1,2
6,11,24,0,2,2,0,0,4308,48,0,2
7,12,22,0,2,1,0,1,1567,12,5,1
8,13,60,1,1,1,0,0,1199,24,1,2
9,14,28,0,2,2,0,0,1403,15,1,1
10,15,32,0,1,1,1,0,1282,24,5,2
11,18,44,0,3,0,0,1,12579,24,1,2
12,21,44,1,2,2,2,0,2647,6,5,1
13,22,48,1,1,2,0,0,2241,10,1,1
14,23,44,1,2,1,1,1,1804,12,1,1
15,25,36,1,1,1,0,0,1374,6,4,1
16,27,42,0,2,2,3,2,409,12,5,1
17,28,34,1,2,1,0,1,2415,7,5,1
18,29,63,1,2,1,0,0,6836,60,0,2
19,30,36,1,2,1,3,1,1913,18,0,1
20,31,27,1,2,1,0,0,4020,24,4,1
21,32,30,1,2,1,1,1,5866,18,1,1
22,34,33,0,3,1,0,2,1474,12,4,1
23,35,25,1,1,1,0,1,4746,45,5,2
24,37,37,1,2,1,0,2,2100,18,5,2
25,38,37,1,2,1,0,2,1225,10,2,1
26,39,24,1,2,1,0,1,458,9,5,1
27,41,26,1,2,1,2,1,1158,12,5,1
28,42,44,1,1,1,0,1,6204,18,6,1
29,43,24,1,2,2,1,0,6187,30,1,1
30,44,58,0,1,0,0,0,6143,48,1,2
31,47,23,0,0,2,2,0,1352,6,1,1
32,51,30,1,3,1,0,1,5965,27,1,1
33,54,57,1,2,0,0,1,2225,36,1,2
34,58,23,0,3,1,0,2,1961,18,1,1
35,59,23,0,1,2,0,0,6229,36,4,2
36,60,27,1,2,1,0,1,1391,9,0,1
37,62,61,1,3,0,0,1,1953,36,0,2
38,63,25,1,2,1,0,1,14421,48,0,2
39,67,22,1,2,1,3,1,1007,12,1,1
40,72,51,1,3,0,0,0,1164,8,7,1
41,73,41,0,1,1,0,1,5954,42,0,1
42,75,66,1,3,0,0,0,1526,12,1,1
43,76,34,1,2,1,0,0,3965,42,5,2
44,77,51,1,2,1,0,1,4771,11,5,1
45,79,22,1,2,1,0,1,3832,30,4,1
46,83,58,0,1,1,0,0,1755,24,7,1
47,84,52,1,1,1,0,0,2315,10,5,1
48,86,27,0,2,1,0,1,1295,18,4,1
49,87,47,1,2,0,1,1,12612,36,3,2
50,88,30,1,3,1,1,0,2249,18,1,1
51,89,28,1,2,1,0,0,1108,12,6,2
52,91,54,1,2,1,0,0,1409,12,1,1
53,94,54,1,2,1,3,1,1318,12,1,1
54,95,58,1,2,2,0,1,15945,54,0,2
55,97,34,1,2,1,1,1,2622,18,0,1
56,98,36,1,2,1,0,1,2337,36,5,1
57,101,24,1,2,2,0,1,2323,36,5,1
58,103,35,1,2,2,0,1,1919,9,4,1
59,105,39,1,3,1,0,1,11938,24,7,2
60,107,32,1,2,1,0,1,6078,12,1,1
61,109,35,1,2,1,2,1,1410,14,0,1
62,110,31,1,2,1,1,1,1449,6,0,1
63,111,23,0,2,2,0,2,392,15,3,1
64,112,28,1,1,2,0,1,6260,18,1,1
65,114,35,1,2,1,2,0,1680,12,5,1
66,118,23,0,2,1,2,0,4281,33,4,2
67,119,36,1,3,1,2,1,2366,12,1,1
68,120,25,0,2,1,0,0,1835,21,5,2
69,123,63,1,2,0,0,2,781,10,1,1
70,125,30,1,2,1,0,0,2121,12,1,1
71,126,40,1,1,1,0,0,701,12,5,1
