Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
37.0,0.0,0.0,1.0,3.0,2.0,5860.26,40.0,4.0
51.0,0.0,1.0,2.0,1.0,2.0,5872.09,36.0,0.0
50.0,0.0,0.0,0.0,3.0,0.0,5817.71,3.0,7.0
76.0,0.0,0.0,2.0,0.0,1.0,5848.47,41.0,1.0
56.0,0.0,3.0,2.0,3.0,0.0,5803.98,36.0,0.0
58.0,0.0,2.0,2.0,0.0,1.0,5888.4,53.0,4.0
55.0,1.0,0.0,0.0,0.5,0.0,5786.22,44.0,2.0
69.0,1.0,0.5,0.5,1.0,2.0,5894.89,7.0,2.0
41.0,0.0,0.0,1.0,2.0,1.0,5773.96,19.0,4.0
47.0,0.0,3.0,2.0,2.0,1.0,5917.6,10.0,1.0
75.0,0.0,0.0,0.0,3.0,2.0,5789.15,44.0,2.0
71.0,1.0,3.0,1.0,0.0,0.0,5907.84,56.0,3.0
49.0,1.0,2.0,0.0,3.0,1.0,5772.17,44.0,7.0
57.0,0.0,3.0,0.0,3.0,1.0,5773.6449999999995,26.0,2.0
28.0,0.0,3.0,0.0,2.0,2.0,5769.28,9.0,5.0
67.0,1.0,3.0,2.0,0.5,0.0,5918.99,52.5,2.5
45.0,1.0,2.0,1.0,1.0,0.0,5944.27,13.0,7.0
57.0,0.0,0.0,0.0,3.0,2.0,5950.61,18.0,4.0
63.0,1.0,0.0,1.0,3.0,1.0,5745.55,61.0,6.0
69.0,0.0,2.0,1.0,3.0,2.0,5953.355,44.0,5.0
69.0,0.0,2.0,1.0,3.0,1.0,5957.19,66.0,6.0
41.0,0.0,0.0,0.0,1.0,2.0,5979.73,41.0,0.0
75.0,0.0,0.0,2.0,0.0,1.0,5699.51,41.0,1.0
53.0,1.0,3.0,2.0,1.0,0.0,5690.8,37.0,3.0
64.0,0.0,3.0,2.0,2.0,1.0,5684.22,48.0,1.0
52.0,0.0,2.0,1.0,0.0,2.0,6031.14,28.0,4.0
23.0,0.0,3.0,2.0,0.0,2.0,5649.97,31.0,6.0
49.0,1.0,0.0,1.5,1.0,1.0,6051.93,47.0,1.0
47.0,1.0,2.0,0.0,3.0,2.0,6067.49,41.0,0.0
59.0,0.0,1.0,1.0,2.0,0.0,6067.19,15.0,3.0
