Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,outcome
62,1,2,1,0,1,9271,36,1,1
78,1,2,1,1,0,9271,36,1,1
38,1,2,1,0,0,8533,36,1,1
75,1,2,1,0,0,409,36,1,1
60,1,3,1,0,0,9271,36,1,1
41,1,2,1,0,0,9271,36,1,1
54,1,2,1,0,0,9271,36,1,1
58,1,2,1,0,0,9271,34,1,1
76,1,2,1,0,0,9271,75,1,1
24,0,2,1,0,0,9271,5,1,1
63,1,2,1,0,0,9271,53,1,1
24,1,2,0,0,0,9271,5,1,1
24,1,2,1,0,0,9271,6,1,1
71,1,2,1,0,0,9271,36,1,1
76,1,2,1,0,2,9271,36,1,1
71,1,1,1,0,0,9271,36,1,1
44,1,3,1,0,0,9271,36,1,1
50,1,3,1,0,0,9271,36,1,1
24,1,2,1,3,0,9271,6,1,1
45,1,2,1,0,0,9271,28,1,1
52,1,2,1,0,0,4304,36,1,1
60,1,2,1,0,0,5290,36,1,1
78,1,2,1,0,0,9271,36,1,1
68,1,3,1,0,0,9271,36,1,1
59,1,2,1,0,0,15499,36,1,1
24,1,2,1,0,2,9271,14,1,1
24,1,2,1,0,2,9271,7,1,1
51,1,2,1,0,0,9271,36,1,1
65,1,2,1,0,0,9271,36,1,1
76,1,2,1,0,0,9271,36,2,1
57,1,2,1,0,0,9271,36,1,1
70,1,2,1,0,0,9271,71,1,1
24,1,2,1,0,0,9271,5,1,1
71,1,2,1,2,0,9271,36,1,1
24,1,2,1,0,0,9271,20,1,1
69,0,2,1,0,0,9271,36,1,1
60,1,2,1,0,0,9271,36,4,1
77,1,2,1,0,0,9271,36,1,1
24,1,2,1,0,0,9271,11,1,1
24,1,2,1,0,0,11973,12,1,1
78,1,2,1,0,0,15552,36,1,1
53,1,2,1,0,0,10899,36,1,1
69,1,2,1,0,0,9271,36,1,1
70,1,2,1,0,1,9271,36,1,1
38,1,3,1,0,0,9271,36,1,1
80,1,2,1,0,0,9271,36,1,1
53,1,2,1,0,0,9271,36,1,1
22,1,2,1,0,0,9271,9,1,1
63,1,2,2,0,0,9271,36,1,1
24,1,2,1,0,0,9271,21,2,1
79,1,1,1,0,0,9271,36,1,1
49,0,2,1,0,0,9271,36,1,1
59,1,2,1,0,0,9271,59,1,1
57,1,1,1,0,0,9271,36,1,1
63,1,0,1,0,0,9271,36,1,1
62,1,2,1,0,0,9271,36,1,1
67,1,0,1,0,0,9271,36,1,1
52,1,2,0,0,0,9271,36,1,1
24,1,2,1,3,0,9271,11,1,1
67,0,2,1,0,0,9271,36,1,1
43,1,2,1,0,0,9271,36,1,1
75,1,2,1,0,0,9271,36,1,1
48,1,2,1,0,1,9271,36,1,1
68,1,2,1,0,0,9271,36,6,1
24,1,2,1,0,0,9271,4,1,1
53,1,2,1,0,1,9271,36,1,1
69,1,2,1,3,0,9271,36,1,1
59,1,2,1,0,0,9271,36,1,1
40,1,2,1,0,0,9271,36,1,1
63,1,2,1,0,2,9271,36,1,1
24,1,2,1,0,0,9271,7,1,1
47,1,2,1,1,0,9271,36,1,1
58,1,2,1,0,0,9271,36,4,1
76,1,2,1,0,0,9271,36,1,1
52,1,2,1,0,0,9271,36,1,1
53,0,2,1,0,0,9271,36,1,1
79,1,2,1,0,0,9271,36,1,1
47,1,2,1,0,0,9271,36,1,1
48,0,2,1,0,0,9271,36,1,1
39,1,2,1,0,0,9271,36,1,1
53,1,2,0,0,0,9271,36,1,1
38,1,2,1,0,2,9271,36,1,1
24,1,2,1,0,0,9271,8,1,1
57,1,2,1,0,0,19579,36,1,1
53,1,2,1,0,0,9271,36,2,1
42,1,2,1,0,0,9271,36,1,1
33,1,2,1,0,2,9271,36,1,1
24,1,2,1,0,0,9271,6,4,1
42,0,2,1,0,0,9271,36,1,1
55,1,2,1,0,0,9271,36,1,1
44,1,2,1,0,0,9271,36,1,1
24,1,2,1,0,0,9271,12,1,1
62,1,2,2,0,0,9271,36,1,1
66,1,2,1,0,0,19567,36,1,1
76,1,1,1,0,0,9271,36,1,1
24,1,2,1,0,0,9271,19,1,1
62,1,2,1,0,0,26173,36,1,1
60,1,2,1,0,0,9271,36,0,1
37,0,2,1,0,0,9271,36,1,1
74,1,2,1,0,0,9271,36,1,1
43,1,0,1,0,0,9271,36,1,1
49,1,2,1,0,0,9271,36,1,1
74,0,2,1,0,0,9271,36,1,1
60,1,2,1,0,0,9271,36,1,1
50,1,2,1,0,0,9271,36,1,1
68,1,2,1,0,0,9271,36,1,1
24,1,3,1,0,0,9271,5,1,1
61,1,2,1,0,0,9271,36,7,1
66,1,2,2,0,0,9271,36,1,1
48,1,2,1,0,0,9271,36,1,1
41,1,2,2,0,0,9271,36,1,1
24,1,2,1,0,0,9271,10,1,1
67,1,2,1,3,0,9271,36,1,1
67,1,2,1,0,0,9271,36,1,1
40,1,0,1,0,0,9271,36,1,1
