Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
42,0,2,1,0,1,4673,3,6
36,1,-4,-2,0,1,2337,36,5
42,0,2,1,0,1,4673,3,6
42,0,2,1,0,1,4673,3,6
31,0,1,-2,0,1,2337,16,5
32,1,1,1,0,1,4673,-3,5
36,0,7,1,0,1,4674,34,6
36,1,2,1,0,1,4673,27,6
36,1,2,1,0,1,2337,27,5
36,1,2,1,0,1,2337,27,5
36,1,2,1,0,1,2337,28,5
36,1,2,1,0,1,2337,28,5
36,1,2,1,0,1,2337,28,5
36,1,2,1,0,1,2337,28,5
36,1,2,1,0,1,2337,29,5
36,1,2,1,0,1,2337,29,5
36,1,2,1,0,1,2337,30,5
36,1,2,1,0,1,2337,30,5
44,1,2,1,0,1,2337,36,5
44,1,2,1,0,1,2337,36,5
44,1,2,1,0,1,2337,36,5
44,1,2,1,0,1,2337,36,5
36,1,2,1,0,1,2337,32,5
36,1,2,1,0,1,2337,32,5
36,1,2,1,0,1,2337,32,5
43,1,2,1,0,1,2337,36,5
43,1,2,1,0,1,2337,36,5
43,1,2,1,0,1,2337,36,5
43,1,2,1,0,1,2337,36,5
43,1,2,1,0,1,2337,36,5
43,1,2,1,0,1,2337,36,5
36,1,2,1,0,1,2337,33,5
