Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
54,1,2,1,0,1,6286,3,3
54,1,2,-1,0,1,6286,1,3
42,1,2,-4,0,1,6286,15,3
42,1,-7,1,0,1,2514,24,3
42,1,2,0,0,1,6284,4,3
42,1,2,0,0,1,6288,5,3
42,1,2,1,0,1,6283,7,3
50,1,2,0,0,1,6288,19,3
42,1,2,0,0,1,6285,9,3
42,1,2,0,0,1,6282,10,3
54,1,2,0,0,1,6286,27,3
54,0,2,1,0,1,6287,28,3
42,1,2,0,0,1,6276,17,3
42,1,2,0,0,1,6276,17,3
42,1,2,0,0,1,6286,19,3
42,1,2,0,0,1,6286,20,3
42,1,2,0,0,1,6286,21,3
50,0,2,0,0,1,6287,32,3
42,1,2,0,0,1,6287,22,3
42,1,2,0,0,1,6288,22,3
40,1,2,0,0,1,6286,19,3
42,0,2,1,0,1,6287,22,3
54,1,2,0,0,1,6288,36,3
42,1,2,0,0,1,6286,24,3
42,1,2,8,0,1,6288,42,3
42,1,2,0,0,1,6288,24,3
44,1,2,0,0,1,6286,28,3
50,1,2,0,0,-7,6286,32,3
42,1,2,0,0,1,6286,25,3
42,1,2,-6,0,1,6286,43,3
42,1,2,-9,0,1,7545,42,3
42,1,2,0,0,1,6288,27,-1
50,1,2,0,0,1,6288,35,3
42,1,2,0,0,1,6287,26,3
42,1,2,0,0,1,6288,26,3
42,0,2,0,0,1,6285,26,3
42,0,2,-8,0,-2,6286,35,3
42,1,2,0,0,1,6287,27,3
42,0,2,0,0,1,6287,27,3
42,1,2,0,0,1,12573,16,-5
42,1,2,0,0,1,6285,28,3
42,1,2,0,-9,1,6286,60,3
42,1,2,0,0,1,6287,28,3
46,1,2,0,0,1,6289,35,3
46,1,2,0,0,1,6291,35,3
42,1,2,0,0,1,6287,29,3
42,1,2,0,0,1,6288,29,3
42,1,2,1,0,1,6286,31,3
42,0,2,0,0,1,6284,30,3
42,1,2,0,0,1,6285,31,3
42,1,2,0,0,1,6285,31,3
42,1,2,0,0,1,6287,31,3
42,0,2,0,0,1,6287,31,3
42,1,2,8,0,1,8173,3,3
42,1,2,0,0,1,6287,32,3
42,1,2,0,0,1,6287,32,3
42,1,2,0,0,1,6287,32,3
33,1,2,1,0,1,5657,21,3
42,1,-7,0,0,1,6287,22,3
42,0,2,1,0,1,6287,32,3
42,1,2,0,0,1,6285,33,3
42,1,2,0,0,1,6285,33,3
42,1,2,0,0,1,6286,33,3
42,1,2,0,0,1,6286,33,3
49,1,2,0,0,1,6288,40,3
42,1,2,-8,0,1,6288,47,-5
42,1,2,0,0,1,6286,34,3
42,1,2,0,0,1,6287,34,3
42,1,2,-7,0,1,6286,41,3
42,1,2,0,0,1,6288,34,3
42,1,2,0,0,1,6289,34,3
42,1,2,7,0,1,6287,44,3
42,1,2,4,0,1,6284,36,3
42,1,2,1,0,1,6286,35,3
42,0,2,0,0,1,6286,34,3
42,1,2,0,0,1,6283,35,3
42,1,2,0,0,1,6284,35,3
42,1,2,0,-1,1,6286,44,3
42,1,6,0,0,1,6284,45,3
42,1,2,0,0,1,6286,35,3
42,1,2,0,0,1,6287,35,3
42,1,2,0,0,1,6287,35,3
42,1,2,0,0,1,6287,35,3
42,1,2,0,0,1,6288,35,3
42,1,2,0,0,1,6288,35,3
42,1,2,0,0,1,6288,35,3
48,1,2,-7,0,1,6288,55,3
42,0,2,0,0,1,6285,35,-4
42,1,2,0,0,1,6288,35,3
42,1,2,0,0,1,3772,28,3
42,1,2,0,0,9,6287,37,-4
43,0,2,0,0,1,6290,36,3
42,1,2,0,0,1,6287,36,3
42,1,2,0,0,1,6288,36,3
42,1,2,0,0,1,6288,36,3
42,1,2,0,0,1,6288,36,3
42,1,2,0,0,1,6288,36,3
42,1,2,0,0,1,6288,36,3
42,1,2,1,0,1,6284,37,3
42,1,2,1,0,1,6286,37,3
43,1,2,0,0,1,6916,36,3
42,1,2,0,0,1,6288,37,3
42,1,2,0,0,1,6289,37,3
42,0,2,0,0,1,6288,44,-3
42,1,2,0,0,1,6287,38,3
42,1,2,0,0,1,6287,38,3
42,0,2,-8,0,1,6285,36,3
38,1,2,0,0,-6,6288,33,3
42,0,2,1,0,1,6286,38,3
42,1,2,1,0,1,6287,39,3
42,1,7,0,0,1,6286,52,1
42,1,2,0,0,1,6287,39,3
42,1,2,0,0,1,6288,39,3
42,1,2,0,0,1,6288,39,3
42,1,2,0,0,1,6288,39,3
42,1,2,0,0,1,12576,26,3
42,0,2,1,0,1,6286,39,3
42,1,2,1,0,1,6287,40,3
50,1,2,0,0,1,6289,45,3
42,1,2,0,0,1,6288,38,1
42,1,2,0,0,1,12576,28,3
42,1,2,0,0,1,6283,41,3
42,1,2,0,0,1,6284,41,3
42,1,2,8,0,1,6286,60,3
39,1,2,0,0,1,6287,56,-5
42,1,2,0,0,1,6287,41,3
42,1,2,0,0,-7,6288,53,3
42,1,2,0,0,1,6287,41,3
42,1,2,0,0,1,6288,41,3
42,1,11,0,0,1,6287,58,3
