,Phenotype,o_1,o_2,o_3,o_4
0,x[2] -= 9 ; x[7] -= 9 ; x[6] -= 1.2 ; x[7] -= 9,10000.0,10000.0,10000.0,10000.0
1,x[7] -= 9 ; x[7] -= 5 ; x[7] -= 7 ; x[1] ^= 1 ; x[7] -= 1 ; x[1] ^= 1 ; x[0] += 9,0.4101613163948059,0.1205328106880188,0.2222222222222222,0.18044297397136688
2,x[7] += 7 ; x[1] ^= 1 ; x[6] += 0.4,0.6863565146923065,0.13271604478359222,0.2222222222222222,0.2500137388706207
3,x[7] -= 8 ; x[7] += 2,0.5877792537212372,0.018518518656492233,0.1111111111111111,0.15881483256816864
4,x[7] -= 9 ; x[7] -= 7 ; x[0] += 8,0.4611920118331909,0.09616634249687195,0.2222222222222222,0.16217367351055145
5,x[7] -= 7 ; x[6] -= 1 ; x[7] -= 1 ; x[1] ^= 1 ; x[1] ^= 1 ; x[7] += 2,0.5877751111984253,0.01853228732943535,0.2222222222222222,0.15880894660949707
6,x[6] -= 1.1,0.6322492361068726,2.7536831112229265e-05,0.1111111111111111,0.17203055322170258
7,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
8,x[7] += 9 ; x[7] += 5 ; x[7] += 8 ; x[4] += 2,0.7646940052509308,0.1642512083053589,0.2222222222222222,0.3207382261753082
9,x[6] *= 2,0.6516816020011902,0.06340355426073074,0.1111111111111111,0.21381333470344543
10,x[7] -= 3 ; x[7] -= 9 ; x[7] += 1,0.5557054579257965,0.03395061939954758,0.1111111111111111,0.1522010862827301
11,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
12,x[6] -= 0.5 ; x[6] *= 0.7 ; x[3] -= 4,10000.0,10000.0,10000.0,10000.0
13,x[7] -= 9 ; x[7] -= 5 ; x[7] -= 9 ; x[7] -= 9 ; x[7] -= 4 ; x[7] -= 9 ; x[6] *= 0.6,0.31922417879104614,0.1130807176232338,0.2222222222222222,0.19626544415950775
14,x[7] += 9 ; x[6] -= 0.8 ; x[7] -= 9 ; x[0] += 5,0.6112479269504547,0.029253534972667694,0.2222222222222222,0.17096665501594543
15,x[7] -= 7 ; x[0] += 1,0.5740264654159546,0.027452891692519188,0.2222222222222222,0.1566566526889801
16,x[7] -= 9 ; x[7] -= 1 ; x[6] += 1.0,0.5621705055236816,0.030877966433763504,0.2222222222222222,0.1535336673259735
17,x[7] -= 8 ; x[3] += 1 ; x[8] += 5,0.5404132604598999,0.17283950746059418,0.3333333333333333,0.14648547768592834
18,x[6] += 2,0.6321312487125397,2.7536831112229265e-05,0.1111111111111111,0.17206202447414398
19,x[7] += 7 ; x[6] += 2 ; x[7] -= 9 ; x[7] -= 8 ; x[0] += 8,0.5152602195739746,0.07767535746097565,0.3333333333333333,0.1524931639432907
20,x[7] -= 8 ; x[3] += 1 ; x[7] -= 9,0.5174163281917572,0.10802469402551651,0.2222222222222222,0.13257618248462677
21,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
22,x[7] -= 7 ; x[6] += 0.6 ; x[5] += 1 ; x[5] -= 5,10000.0,10000.0,10000.0,10000.0
23,x[7] -= 4 ; x[7] -= 4 ; x[7] -= 9,0.5194564759731293,0.05246913805603981,0.1111111111111111,0.16190125048160553
24,x[6] += 0.2 ; x[7] -= 9 ; x[0] += 5,0.5370785892009735,0.05701754242181778,0.2222222222222222,0.15463165938854218
25,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
26,x[7] -= 6 ; x[2] -= 9 ; x[6] += 0.3 ; x[7] -= 7 ; x[1] ^= 1 ; x[6] += 0.4,10000.0,10000.0,10000.0,10000.0
27,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
28,x[7] -= 9 ; x[7] -= 5 ; x[7] -= 9 ; x[7] -= 9 ; x[7] -= 4 ; x[7] -= 9 ; x[6] *= 0.6,0.31922417879104614,0.1130807176232338,0.2222222222222222,0.19626544415950775
29,x[3] += 1,0.6337707042694092,0.0555555559694767,0.1111111111111111,0.13943864405155182
30,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
31,x[6] -= 1.2 ; x[7] -= 1,0.6243654489517212,0.003113956656306982,0.2222222222222222,0.1698259562253952
32,x[6] -= 0.4,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
33,x[7] -= 9 ; x[7] -= 4 ; x[7] -= 4 ; x[7] -= 2,0.5082049071788788,0.05864197760820389,0.1111111111111111,0.16631042957305908
34,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
35,x[7] -= 8 ; x[7] -= 8 ; x[1] ^= 1 ; x[2] -= 9 ; x[7] -= 7 ; x[1] ^= 1 ; x[7] -= 1 ; x[7] -= 8,10000.0,10000.0,10000.0,10000.0
36,x[4] += 4 ; x[6] += 0.5 ; x[6] += 0.3 ; x[8] -= 9 ; x[1] ^= 1,10000.0,10000.0,10000.0,10000.0
37,x[6] += 1 ; x[7] -= 9 ; x[7] -= 5 ; x[7] -= 9 ; x[7] -= 8 ; x[0] += 8,0.36421358585357666,0.12690074741840363,0.3333333333333333,0.19398362934589386
38,x[3] -= 7,10000.0,10000.0,10000.0,10000.0
39,x[6] += 0.9,0.6321898996829987,0.0,0.0,0.1720423549413681
40,x[7] -= 9 ; x[7] -= 5 ; x[7] -= 9 ; x[7] -= 9 ; x[7] -= 4 ; x[7] -= 9 ; x[6] *= 0.6,0.31922417879104614,0.1130807176232338,0.2222222222222222,0.19626544415950775
41,x[6] -= 0.6,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
42,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
43,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
