Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
651,37,1,1,1,0,1,1922,12,4,2
539,45,0,1,1,0,2,3049,18,4,1
566,36,1,2,1,0,0,1372,12,1,2
522,53,1,2,0,0,0,7119,48,4,2
929,43,1,1,1,0,0,1344,12,1,1
771,25,0,3,1,0,0,8065,36,3,2
446,34,0,2,1,0,0,1842,36,1,2
284,37,1,2,1,1,1,3878,24,1,1
581,49,1,1,1,0,1,3124,12,1,1
86,27,0,2,1,0,1,1295,18,4,1
722,24,0,1,1,0,0,1228,12,1,2
362,36,0,2,1,0,2,2247,12,1,1
87,47,1,2,0,1,1,12612,36,3,2
43,24,1,2,2,1,0,6187,30,1,1
885,53,0,2,1,0,0,795,12,3,2
570,23,0,1,2,0,0,3234,24,4,2
169,31,1,2,1,0,1,1935,24,0,2
351,29,0,2,1,0,1,959,9,4,2
507,34,1,3,1,1,1,6850,15,1,2
462,34,0,3,2,0,1,3017,12,4,1
227,53,1,3,0,0,0,7865,12,4,2
961,47,1,2,1,0,1,2353,21,1,1
128,34,1,3,1,0,1,1860,12,1,1
237,61,1,1,2,1,1,2767,21,0,2
13,60,1,1,1,0,0,1199,24,1,2
780,25,1,2,1,0,1,4933,39,5,2
540,23,1,2,2,0,1,1534,12,5,2
319,27,0,1,1,0,0,3643,15,4,1
89,28,1,2,1,0,0,1108,12,6,2
707,25,0,2,2,0,1,2969,12,4,2
630,28,0,2,1,0,0,3660,24,5,1
590,58,0,1,1,0,0,385,12,5,1
328,31,1,2,1,0,2,4473,36,5,1
639,26,1,2,1,0,0,4370,42,5,2
62,61,1,3,0,0,1,1953,36,0,2
518,43,1,2,1,1,0,1203,6,1,1
601,30,0,2,1,0,1,918,9,4,2
565,23,0,2,2,1,1,1553,24,5,1
301,42,0,2,1,0,1,3804,36,5,2
97,34,1,2,1,1,1,2622,18,0,1
94,54,1,2,1,3,1,1318,12,1,1
163,70,1,3,0,0,1,7308,10,1,1
937,30,1,3,2,0,1,2063,6,5,1
946,30,1,2,0,2,0,3349,24,4,2
393,31,0,2,1,0,0,1957,6,5,1
586,36,1,2,2,0,0,2799,9,1,1
709,37,1,1,1,0,1,2118,9,5,1
814,46,1,2,0,0,0,3931,48,1,2
604,23,0,2,1,0,2,1275,10,4,1
919,39,1,3,2,0,0,3345,24,4,2
153,29,0,2,2,3,1,7758,24,1,1
39,24,1,2,1,0,1,458,9,5,1
9,28,1,3,1,0,1,5234,30,1,2
103,35,1,2,2,0,1,1919,9,4,1
812,24,1,2,1,0,0,9629,36,1,2
952,28,0,2,2,2,1,4113,24,1,2
739,26,0,1,2,1,1,4280,30,0,2
312,26,0,2,1,0,2,3749,24,4,1
595,32,0,1,1,1,1,931,6,1,2
110,31,1,2,1,1,1,1449,6,0,1
750,49,0,2,1,0,0,428,6,4,1
650,50,1,3,0,0,0,7476,48,3,1
848,59,1,2,1,0,0,1364,9,5,1
935,30,1,3,1,1,1,1919,30,5,2
112,28,1,1,2,0,1,6260,18,1,1
197,27,0,2,2,1,1,951,12,4,2
220,26,1,1,1,0,1,625,12,5,1
313,25,1,1,1,0,1,685,12,1,2
38,37,1,2,1,0,2,1225,10,2,1
660,23,1,2,2,0,2,1297,12,5,1
729,36,1,2,1,3,2,1275,24,0,1
732,44,0,1,1,0,1,760,8,5,1
496,29,1,3,2,1,1,9034,36,4,2
407,27,1,2,1,0,0,1053,15,5,1
611,48,0,1,0,1,2,1240,10,1,2
12,22,0,2,1,0,1,1567,12,5,1
648,38,1,2,0,0,2,947,24,1,2
172,34,0,3,1,0,1,2064,24,4,2
659,41,1,2,1,0,1,6361,18,4,1
141,30,0,3,1,0,1,4795,36,5,1
871,46,1,2,1,0,2,1343,6,1,1
587,21,1,1,1,0,0,1289,12,4,1
593,20,0,1,2,0,1,2718,24,1,2
478,39,1,1,1,1,1,1037,12,0,1
405,22,1,2,1,0,1,2039,24,5,2
501,42,1,2,0,0,0,5493,36,1,1
801,48,0,1,2,0,1,1795,18,5,1
620,27,1,2,1,0,1,3652,21,0,1
537,37,0,2,1,0,1,3612,18,4,1
201,27,1,1,1,0,0,1168,12,1,1
736,23,0,3,2,0,1,11560,24,1,2
955,57,0,3,2,3,0,1231,24,5,1
597,36,1,1,1,0,1,4241,24,0,2
512,26,1,2,2,0,2,2687,15,0,1
600,45,0,2,1,0,1,2329,7,5,1
826,33,0,2,2,0,0,3966,18,1,2
510,26,1,2,1,0,0,759,12,1,2
900,43,1,2,2,0,0,2625,16,1,2
187,68,1,0,0,0,1,1175,16,1,1
105,39,1,3,1,0,1,11938,24,7,2
265,37,1,2,1,0,1,802,15,5,2
316,38,1,1,1,0,0,708,12,4,1
251,46,0,1,1,0,2,2251,12,4,1
192,36,1,2,1,0,1,3915,27,0,2
878,27,1,3,0,0,0,1422,9,1,2
475,26,0,2,2,0,0,3114,18,4,2
35,25,1,1,1,0,1,4746,45,5,2
288,49,0,2,1,0,1,1092,12,5,1
515,37,0,2,1,0,0,609,6,1,1
123,63,1,2,0,0,2,781,10,1,1
930,24,1,1,1,0,0,1747,24,4,1
989,48,1,1,1,0,1,1743,24,5,1
179,65,1,2,1,0,0,571,21,1,1
23,44,1,2,1,1,1,1804,12,1,1
27,42,0,2,2,3,2,409,12,5,1
195,34,0,3,1,0,1,1501,9,3,2
677,24,1,2,1,1,1,5595,72,5,2
286,26,1,2,1,0,0,4788,48,1,1
779,67,0,2,1,0,1,3872,18,6,1
460,37,1,2,1,0,0,3620,36,4,1
335,44,1,3,2,0,0,3384,6,4,2
719,31,1,2,1,1,1,6148,20,1,1
578,27,1,2,1,0,1,2820,36,1,2
465,63,1,2,1,0,0,2924,24,1,1
261,55,0,2,1,0,0,1603,24,5,1
344,37,1,1,1,0,2,3949,10,1,1
274,34,1,1,1,0,0,11998,30,6,2
140,27,1,0,1,3,2,709,6,1,1
167,20,0,2,1,3,1,1577,11,4,1
618,21,0,2,2,1,1,3441,30,4,2
699,40,1,3,2,0,2,1905,15,3,1
434,25,1,2,1,0,0,2136,9,4,1
416,33,1,1,1,0,0,2579,12,1,2
669,47,1,2,1,0,2,3017,30,5,1
506,36,1,2,1,2,2,2360,15,1,1
658,28,0,2,1,0,1,4221,30,0,1
181,30,1,3,1,0,1,4455,36,0,2
808,55,1,3,0,0,1,9283,42,1,1
708,25,0,2,1,0,1,1206,9,5,1
917,68,1,3,1,0,0,14896,6,1,2
120,25,0,2,1,0,0,1835,21,5,2
923,30,1,2,2,0,1,2002,12,1,1
973,36,1,2,2,0,0,7297,60,0,2
474,33,1,2,1,0,1,1245,18,5,2
29,63,1,2,1,0,0,6836,60,0,2
7,35,1,3,2,0,1,6948,36,1,1
18,44,0,3,0,0,1,12579,24,1,2
199,40,1,3,1,0,1,4297,18,4,2
472,28,1,1,1,0,0,654,9,1,2
42,44,1,1,1,0,1,6204,18,6,1
704,32,0,2,1,0,1,2528,27,0,1
741,23,1,1,1,0,1,1048,10,5,1
212,50,1,2,1,0,0,5293,27,0,2
821,24,1,2,1,0,2,3016,12,5,1
367,22,0,2,2,0,0,3650,18,4,1
323,28,1,2,1,3,0,2659,18,4,1
580,30,1,2,1,0,1,1056,18,1,2
596,23,0,2,2,0,0,1442,24,1,2
789,27,1,2,1,0,0,5998,40,3,2
273,28,1,2,1,0,1,3060,48,5,2
477,25,1,2,1,0,2,5152,24,5,1
73,41,0,1,1,0,1,5954,42,0,1
252,24,0,2,1,0,1,2150,30,1,2
499,28,1,2,1,1,2,1323,6,1,1
576,27,0,2,1,0,1,2930,12,5,1
72,51,1,3,0,0,0,1164,8,7,1
788,50,1,2,0,0,1,6224,48,3,2
287,31,1,3,0,1,1,7582,48,7,1
184,36,1,2,1,0,1,884,18,1,2
21,44,1,2,2,2,0,2647,6,5,1
126,40,1,1,1,0,0,701,12,5,1
980,49,1,2,1,0,1,8386,30,4,2
777,25,0,2,1,0,0,3509,18,5,1
815,54,0,2,2,0,1,7432,36,1,1
79,22,1,2,1,0,1,3832,30,4,1
966,23,1,1,1,2,1,2520,27,5,2
623,22,0,2,2,0,0,1858,12,4,1
720,34,1,3,1,0,2,1337,9,5,2
347,23,0,0,2,2,1,3758,24,5,1
307,33,1,1,1,1,0,727,12,5,2
229,22,1,2,0,0,0,3149,24,4,1
998,23,1,2,0,0,0,1845,45,5,2
109,35,1,2,1,2,1,1410,14,0,1
730,33,1,2,1,0,1,6403,24,5,1
336,23,0,1,1,0,1,2101,13,5,1
458,27,0,2,1,0,0,343,6,2,1
332,24,0,3,1,1,1,7408,60,1,2
166,33,0,2,1,0,0,1131,18,4,2
721,24,0,2,2,3,1,433,6,3,2
617,37,1,2,2,0,0,3676,6,1,1
4,53,1,2,0,0,0,4870,24,1,2
444,30,0,3,1,0,1,5096,48,4,2
806,26,1,1,1,0,1,590,6,5,1
585,20,0,2,2,0,0,2039,18,4,2
387,40,1,3,1,0,1,7374,18,4,1
996,40,1,3,1,0,0,3857,30,1,1
203,21,1,2,2,0,0,902,12,3,2
395,32,1,2,2,1,1,11760,39,3,1
999,27,1,2,1,1,1,4576,45,1,1
364,25,1,0,1,0,0,2473,18,4,2
552,34,1,2,1,0,0,6999,48,5,2
28,34,1,2,1,0,1,2415,7,5,1
652,45,1,2,1,0,0,2303,24,1,2
54,57,1,2,0,0,1,2225,36,1,2
893,34,1,2,1,0,1,5800,36,1,1
756,74,1,0,1,0,2,1299,6,1,1
692,29,1,2,1,1,1,2896,24,5,1
